Date,Norwegian Cruise Line Holdings
2011-01-08,92
2011-01-09,88
2011-01-10,85
2011-01-11,81
2011-01-12,78
2011-01-13,74
2011-01-14,71
2011-01-15,68
2011-01-16,68
2011-01-17,69
2011-01-18,70
2011-01-19,70
2011-01-20,71
2011-01-21,71
2011-01-22,72
2011-01-23,72
2011-01-24,71
2011-01-25,70
2011-01-26,70
2011-01-27,69
2011-01-28,69
2011-01-29,69
2011-01-30,69
2011-01-31,69
2011-02-01,70
2011-02-02,70
2011-02-03,70
2011-02-04,71
2011-02-05,71
2011-02-06,69
2011-02-07,66
2011-02-08,64
2011-02-09,62
2011-02-10,60
2011-02-11,58
2011-02-12,56
2011-02-13,59
2011-02-14,62
2011-02-15,65
2011-02-16,68
2011-02-17,71
2011-02-18,74
2011-02-19,77
2011-02-20,75
2011-02-21,73
2011-02-22,71
2011-02-23,69
2011-02-24,67
2011-02-25,65
2011-02-26,64
2011-02-27,65
2011-02-28,66
2011-03-01,67
2011-03-02,68
2011-03-03,69
2011-03-04,70
2011-03-05,72
2011-03-06,72
2011-03-07,72
2011-03-08,72
2011-03-09,72
2011-03-10,72
2011-03-11,72
2011-03-12,72
2011-03-13,72
2011-03-14,72
2011-03-15,73
2011-03-16,73
2011-03-17,73
2011-03-18,73
2011-03-19,74
2011-03-20,71
2011-03-21,68
2011-03-22,65
2011-03-23,62
2011-03-24,59
2011-03-25,56
2011-03-26,54
2011-03-27,54
2011-04-03,60
2011-04-04,60
2011-04-05,61
2011-04-06,61
2011-04-07,61
2011-04-08,61
2011-04-09,62
2011-04-10,61
2011-04-11,59
2011-04-12,58
2011-04-13,57
2011-04-14,56
2011-04-15,55
2011-04-16,54
2011-04-17,55
2011-04-18,56
2011-04-19,57
2011-04-20,59
2011-04-21,60
2011-04-22,61
2011-04-23,63
2011-04-24,63
2011-04-25,63
2011-04-26,63
2011-04-27,63
2011-04-28,63
2011-04-29,63
2011-04-30,63
2011-05-01,65
2011-05-02,68
2011-05-03,71
2011-05-04,74
2011-05-05,76
2011-05-06,79
2011-05-07,82
2011-05-08,79
2011-05-09,75
2011-05-10,73
2011-05-11,70
2011-05-12,68
2011-05-13,65
2011-05-14,63
2011-05-15,65
2011-05-16,68
2011-05-17,71
2011-05-18,74
2011-05-19,77
2011-05-20,80
2011-05-21,83
2011-05-22,81
2011-05-23,80
2011-05-24,78
2011-05-25,76
2011-05-26,75
2011-05-27,73
2011-05-28,72
2011-05-29,70
2011-05-30,67
2011-05-31,65
2011-06-01,63
2011-06-02,61
2011-06-03,59
2011-06-04,57
2011-06-05,56
2011-06-06,55
2011-06-07,54
2011-06-08,53
2011-06-09,52
2011-06-10,51
2011-06-11,51
2011-06-12,53
2011-06-13,56
2011-06-14,59
2011-06-15,62
2011-06-16,64
2011-06-17,67
2011-06-18,70
2011-06-19,70
2011-06-20,69
2011-06-21,69
2011-06-22,68
2011-06-23,68
2011-06-24,68
2011-06-25,68
2011-06-26,67
2011-07-03,61
2011-07-04,60
2011-07-05,59
2011-07-06,58
2011-07-07,57
2011-07-08,56
2011-07-09,55
2011-07-10,55
2011-07-11,55
2011-07-12,55
2011-07-13,55
2011-07-14,55
2011-07-15,55
2011-07-16,55
2011-07-17,57
2011-07-18,60
2011-07-19,63
2011-07-20,65
2011-07-21,68
2011-07-22,71
2011-07-23,74
2011-07-24,76
2011-07-25,78
2011-07-26,80
2011-07-27,83
2011-07-28,85
2011-07-29,87
2011-07-30,90
2011-07-31,90
2011-08-01,90
2011-08-02,90
2011-08-03,90
2011-08-04,90
2011-08-05,90
2011-08-06,90
2011-08-07,88
2011-08-08,85
2011-08-09,83
2011-08-10,81
2011-08-11,79
2011-08-12,76
2011-08-13,74
2011-08-14,74
2011-08-15,73
2011-08-16,73
2011-08-17,72
2011-08-18,72
2011-08-19,72
2011-08-20,72
2011-08-21,72
2011-08-22,73
2011-08-23,73
2011-08-24,74
2011-08-25,74
2011-08-26,75
2011-08-27,75
2011-08-28,74
2011-08-29,72
2011-08-30,70
2011-08-31,69
2011-09-01,67
2011-09-02,66
2011-09-03,65
2011-09-04,64
2011-09-05,64
2011-09-06,63
2011-09-07,63
2011-09-08,62
2011-09-09,62
2011-09-10,62
2011-09-11,63
2011-09-12,65
2011-09-13,66
2011-09-14,68
2011-09-15,69
2011-09-16,71
2011-09-17,73
2011-09-18,72
2011-09-19,71
2011-09-20,70
2011-09-21,69
2011-09-22,68
2011-09-23,67
2011-09-24,66
2011-09-25,65
2011-10-02,60
2011-10-03,63
2011-10-04,66
2011-10-05,68
2011-10-06,71
2011-10-07,74
2011-10-08,76
