Date,Genomatica
2011-02-01,0
2011-02-02,1
2011-02-03,3
2011-02-04,5
2011-02-05,7
2011-02-06,9
2011-02-07,11
2011-02-08,13
2011-02-09,15
2011-02-10,17
2011-02-11,19
2011-02-12,21
2011-02-13,23
2011-02-14,25
2011-02-15,27
2011-02-16,29
2011-02-17,31
2011-02-18,33
2011-02-19,35
2011-02-20,37
2011-02-21,39
2011-02-22,41
2011-02-23,43
2011-02-24,45
2011-02-25,47
2011-02-26,49
2011-02-27,51
2011-02-28,53
2011-03-01,55
2011-03-02,55
2011-03-03,55
2011-03-04,55
2011-03-05,56
2011-03-06,56
2011-03-07,56
2011-03-08,56
2011-03-09,57
2011-03-10,57
2011-03-11,57
2011-03-12,57
2011-03-13,58
2011-03-14,58
2011-03-15,58
2011-03-16,58
2011-03-17,59
2011-03-18,59
2011-03-19,59
2011-03-20,59
2011-03-21,60
2011-03-22,60
2011-03-23,60
2011-03-24,60
2011-03-25,61
2011-03-26,61
2011-03-27,61
2011-03-28,61
2011-03-29,62
2011-03-30,62
2011-03-31,62
2011-04-01,63
2011-04-02,63
2011-04-03,63
2011-04-04,63
2011-04-05,64
2011-04-06,64
2011-04-07,64
2011-04-08,65
2011-04-09,65
2011-04-10,65
2011-04-11,66
2011-04-12,66
2011-04-13,66
2011-04-14,66
2011-04-15,67
2011-04-16,67
2011-04-17,67
2011-04-18,68
2011-04-19,68
2011-04-20,68
2011-04-21,69
2011-04-22,69
2011-04-23,69
2011-04-24,69
2011-04-25,70
2011-04-26,70
2011-04-27,70
2011-04-28,71
2011-04-29,71
2011-04-30,71
2011-05-01,72
2011-05-02,72
2011-05-03,72
2011-05-04,72
2011-05-05,73
2011-05-06,73
2011-05-07,73
2011-05-08,73
2011-05-09,74
2011-05-10,74
2011-05-11,74
2011-05-12,74
2011-05-13,75
2011-05-14,75
2011-05-15,75
2011-05-16,75
2011-05-17,76
2011-05-18,76
2011-05-19,76
2011-05-20,76
2011-05-21,77
2011-05-22,77
2011-05-23,77
2011-05-24,77
2011-05-25,78
2011-05-26,78
2011-05-27,78
2011-05-28,78
2011-05-29,79
2011-05-30,79
2011-05-31,79
2011-06-01,80
2011-06-02,80
2011-06-03,81
2011-06-04,81
2011-06-05,82
2011-06-06,82
2011-06-07,83
2011-06-08,83
2011-06-09,84
2011-06-10,84
2011-06-11,85
2011-06-12,85
2011-06-13,86
2011-06-14,86
2011-06-15,87
2011-06-16,88
2011-06-17,88
2011-06-18,89
2011-06-19,89
2011-06-20,90
2011-06-21,90
2011-06-22,91
2011-06-23,91
2011-06-24,92
2011-06-25,92
2011-06-26,93
2011-06-27,93
2011-06-28,94
2011-06-29,94
2011-06-30,95
2011-07-01,96
2011-07-02,96
2011-07-03,96
2011-07-04,96
2011-07-05,96
2011-07-06,96
2011-07-07,96
2011-07-08,96
2011-07-09,97
2011-07-10,97
2011-07-11,97
2011-07-12,97
2011-07-13,97
2011-07-14,97
2011-07-15,97
2011-07-16,97
2011-07-17,98
2011-07-18,98
2011-07-19,98
2011-07-20,98
2011-07-21,98
2011-07-22,98
2011-07-23,98
2011-07-24,98
2011-07-25,99
2011-07-26,99
2011-07-27,99
2011-07-28,99
2011-07-29,99
2011-07-30,99
2011-07-31,99
2011-08-01,100
2011-08-02,99
2011-08-03,98
2011-08-04,97
2011-08-05,96
2011-08-06,95
2011-08-07,94
2011-08-08,93
2011-08-09,93
2011-08-10,92
2011-08-11,91
2011-08-12,90
2011-08-13,89
2011-08-14,88
2011-08-15,87
2011-08-16,86
2011-08-17,86
2011-08-18,85
2011-08-19,84
2011-08-20,83
2011-08-21,82
2011-08-22,81
2011-08-23,80
2011-08-24,79
2011-08-25,79
2011-08-26,78
2011-08-27,77
2011-08-28,76
2011-08-29,75
2011-08-30,74
2011-08-31,73
2011-09-01,73
2011-09-02,72
2011-09-03,71
2011-09-04,70
2011-09-05,70
2011-09-06,69
2011-09-07,68
2011-09-08,67
2011-09-09,67
2011-09-10,66
2011-09-11,65
2011-09-12,64
2011-09-13,64
2011-09-14,63
2011-09-15,62
2011-09-16,62
2011-09-17,61
2011-09-18,60
