Date,Berry Plastics
2011-09-10,65
2011-09-11,65
2011-09-12,64
2011-09-13,64
2011-09-14,63
2011-09-15,63
2011-09-16,63
2011-09-17,63
2011-09-18,62
2011-09-19,61
2011-09-20,60
2011-09-21,59
2011-09-22,58
2011-09-23,57
2011-09-24,57
2011-09-25,55
2011-09-26,53
2011-09-27,51
2011-09-28,50
2011-09-29,48
2011-09-30,46
2011-10-01,45
2011-10-02,45
2011-10-03,46
2011-10-04,47
2011-10-05,48
2011-10-06,49
2011-10-07,50
2011-10-08,51
2011-10-09,53
2011-10-10,55
2011-10-11,57
2011-10-12,59
2011-10-13,61
2011-10-14,63
2011-10-15,65
2011-10-16,64
2011-10-17,64
2011-10-18,63
2011-10-19,63
2011-10-20,62
2011-10-21,62
2011-10-22,62
2011-10-23,63
2011-10-24,65
2011-10-25,67
2011-10-26,69
2011-10-27,70
2011-10-28,72
2011-10-29,74
2011-10-30,70
2011-10-31,66
2011-11-01,62
2011-11-02,59
2011-11-03,55
2011-11-04,52
2011-11-05,49
2011-11-06,50
2011-11-07,52
2011-11-08,53
2011-11-09,55
2011-11-10,56
2011-11-11,58
2011-11-12,60
2011-11-13,61
2011-11-14,63
2011-11-15,65
2011-11-16,67
2011-11-17,68
2011-11-18,70
2011-11-19,72
2011-11-20,68
2011-11-21,64
2011-11-22,61
2011-11-23,57
2011-11-24,54
2011-11-25,50
2011-11-26,47
2011-11-27,48
2011-12-04,54
2011-12-05,50
2011-12-06,45
2011-12-07,41
2011-12-08,36
2011-12-09,32
2011-12-10,28
2011-12-11,31
2011-12-12,35
2011-12-13,38
2011-12-14,42
2011-12-15,45
2011-12-16,49
2011-12-17,52
2011-12-18,50
2011-12-19,48
2011-12-20,46
2011-12-21,45
2011-12-22,43
2011-12-23,41
2011-12-24,40
2011-12-25,38
2011-12-26,36
2011-12-27,34
2011-12-28,33
2011-12-29,31
2011-12-30,29
2011-12-31,28
2012-01-01,31
2012-01-02,34
2012-01-03,37
2012-01-04,41
2012-01-05,44
2012-01-06,47
2012-01-07,51
2012-01-08,56
2012-01-09,62
2012-01-10,67
2012-01-11,73
2012-01-12,78
2012-01-13,84
2012-01-14,90
