Date,Lumber Liquidators
2007-11-07,61
2007-11-08,59
2007-11-09,57
2007-11-10,56
2007-11-11,56
2007-11-12,57
2007-11-13,57
2007-11-14,58
2007-11-15,58
2007-11-16,58
2007-11-17,59
2007-11-18,60
2007-11-19,61
2007-11-20,62
2007-11-21,64
2007-11-22,65
2007-11-23,66
2007-11-24,68
2007-11-25,70
2007-11-26,72
2007-11-27,74
2007-11-28,77
2007-11-29,79
2007-11-30,81
2007-12-01,84
2007-12-02,80
2007-12-03,76
2007-12-04,72
2007-12-05,68
2007-12-06,64
2007-12-07,60
2007-12-08,56
2007-12-09,57
2007-12-10,58
2007-12-11,59
2007-12-12,60
2007-12-13,61
2007-12-14,62
2007-12-15,63
2007-12-16,64
2007-12-17,65
2007-12-18,66
2007-12-19,67
2007-12-20,68
2007-12-21,69
2007-12-22,70
2007-12-23,71
2007-12-24,72
2007-12-25,73
2007-12-26,74
2007-12-27,75
2007-12-28,76
2007-12-29,77
2007-12-30,78
2008-01-06,80
2008-01-07,76
2008-01-08,73
2008-01-09,69
2008-01-10,65
2008-01-11,61
2008-01-12,58
2008-01-13,57
2008-01-14,57
2008-01-15,57
2008-01-16,56
2008-01-17,56
2008-01-18,56
2008-01-19,56
2008-01-20,56
2008-01-21,57
2008-01-22,57
2008-01-23,58
2008-01-24,58
2008-01-25,59
2008-01-26,60
2008-01-27,57
2008-01-28,54
2008-01-29,51
2008-01-30,48
2008-01-31,45
2008-02-01,42
2008-02-02,40
2008-02-03,47
2008-02-04,56
2008-02-05,63
2008-02-06,71
2008-02-07,79
2008-02-08,87
2008-02-09,95
2008-02-10,90
2008-02-11,82
2008-02-12,77
2008-02-13,71
2008-02-14,66
2008-02-15,60
2008-02-16,55
2008-02-17,55
2008-02-18,55
2008-02-19,55
2008-02-20,55
2008-02-21,55
2008-02-22,55
2008-02-23,55
2008-02-24,56
2008-02-25,58
2008-02-26,59
2008-02-27,61
2008-02-28,62
2008-02-29,64
2008-03-01,66
2008-03-02,67
2008-03-03,68
2008-03-04,69
2008-03-05,70
2008-03-06,71
2008-03-07,72
2008-03-08,73
2008-03-09,71
2008-03-10,70
2008-03-11,69
2008-03-12,67
2008-03-13,66
2008-03-14,65
2008-03-15,64
2008-03-16,62
2008-03-17,61
2008-03-18,59
2008-03-19,58
2008-03-20,56
2008-03-21,54
2008-03-22,53
2008-03-23,52
2008-03-24,52
2008-03-25,51
2008-03-26,51
2008-03-27,50
2008-03-28,50
2008-03-29,50
2008-03-30,48
2008-04-06,46
2008-04-07,51
2008-04-08,56
2008-04-09,61
2008-04-10,66
2008-04-11,70
2008-04-12,75
2008-04-13,74
2008-04-14,71
2008-04-15,70
2008-04-16,68
2008-04-17,67
2008-04-18,65
2008-04-19,64
2008-04-20,65
2008-04-21,66
2008-04-22,68
2008-04-23,69
2008-04-24,71
2008-04-25,72
2008-04-26,74
2008-04-27,70
2008-04-28,66
2008-04-29,62
2008-04-30,58
2008-05-01,54
2008-05-02,50
2008-05-03,47
2008-05-04,52
2008-05-05,58
2008-05-06,64
2008-05-07,69
2008-05-08,75
2008-05-09,80
2008-05-10,86
2008-05-11,80
2008-05-12,71
2008-05-13,65
2008-05-14,59
2008-05-15,53
2008-05-16,47
2008-05-17,41
2008-05-18,46
2008-05-19,52
2008-05-20,57
2008-05-21,63
2008-05-22,68
2008-05-23,73
2008-05-24,79
2008-05-25,80
2008-05-26,79
2008-05-27,79
2008-05-28,80
2008-05-29,80
2008-05-30,81
2008-05-31,82
2008-06-01,81
2008-06-02,80
2008-06-03,80
2008-06-04,79
2008-06-05,78
2008-06-06,77
2008-06-07,77
2008-06-08,74
2008-06-09,71
2008-06-10,68
2008-06-11,66
2008-06-12,63
2008-06-13,60
2008-06-14,57
2008-06-15,56
2008-06-16,54
2008-06-17,53
2008-06-18,52
2008-06-19,51
2008-06-20,50
2008-06-21,49
2008-06-22,50
2008-06-23,51
2008-06-24,52
2008-06-25,53
2008-06-26,54
2008-06-27,55
2008-06-28,56
2008-06-29,57
2008-07-06,59
2008-07-07,55
2008-07-08,52
2008-07-09,48
2008-07-10,45
2008-07-11,41
2008-07-12,38
2008-07-13,39
2008-07-14,41
2008-07-15,43
2008-07-16,45
2008-07-17,46
2008-07-18,48
2008-07-19,50
2008-07-20,50
2008-07-21,50
2008-07-22,50
2008-07-23,50
2008-07-24,50
2008-07-25,50
2008-07-26,50
2008-07-27,54
2008-07-28,59
2008-07-29,64
2008-07-30,69
2008-07-31,74
2008-08-01,79
2008-08-02,84
2008-08-03,85
2008-08-04,88
2008-08-05,89
2008-08-06,91
2008-08-07,93
2008-08-08,95
2008-08-09,96
2008-08-10,92
2008-08-11,88
2008-08-12,84
2008-08-13,80
2008-08-14,76
2008-08-15,72
2008-08-16,68
2008-08-17,68
2008-08-18,67
2008-08-19,68
2008-08-20,68
2008-08-21,69
2008-08-22,69
2008-08-23,70
2008-08-24,70
2008-08-25,70
2008-08-26,71
2008-08-27,71
2008-08-28,72
2008-08-29,72
2008-08-30,73
2008-08-31,69
2008-09-01,67
2008-09-02,63
2008-09-03,60
2008-09-04,57
2008-09-05,54
2008-09-06,50
2008-09-07,51
2008-09-08,50
2008-09-09,50
2008-09-10,50
2008-09-11,50
2008-09-12,50
2008-09-13,51
2008-09-14,51
2008-09-15,51
2008-09-16,51
2008-09-17,51
2008-09-18,51
2008-09-19,51
2008-09-20,51
2008-09-21,55
2008-09-22,60
2008-09-23,65
2008-09-24,70
2008-09-25,75
2008-09-26,80
2008-09-27,85
2008-09-28,80
