Date,Transunion
2011-01-02,34
2011-01-03,34
2011-01-04,33
2011-01-05,33
2011-01-06,32
2011-01-07,32
2011-01-08,32
2011-01-09,32
2011-01-10,32
2011-01-11,32
2011-01-12,32
2011-01-13,32
2011-01-14,32
2011-01-15,32
2011-01-16,33
2011-01-17,34
2011-01-18,36
2011-01-19,37
2011-01-20,39
2011-01-21,40
2011-01-22,42
2011-01-23,43
2011-01-24,44
2011-01-25,46
2011-01-26,47
2011-01-27,49
2011-01-28,50
2011-01-29,52
2011-01-30,50
2011-01-31,48
2011-02-01,46
2011-02-02,45
2011-02-03,43
2011-02-04,41
2011-02-05,39
2011-02-06,40
2011-02-07,39
2011-02-08,40
2011-02-09,40
2011-02-10,41
2011-02-11,41
2011-02-12,42
2011-02-13,42
2011-02-14,42
2011-02-15,43
2011-02-16,43
2011-02-17,44
2011-02-18,44
2011-02-19,45
2011-02-20,46
2011-02-21,48
2011-02-22,50
2011-02-23,51
2011-02-24,53
2011-02-25,55
2011-02-26,56
2011-02-27,55
2011-02-28,53
2011-03-01,52
2011-03-02,51
2011-03-03,50
2011-03-04,49
2011-03-05,48
2011-03-06,46
2011-03-07,45
2011-03-08,44
2011-03-09,43
2011-03-10,42
2011-03-11,41
2011-03-12,40
2011-03-13,39
2011-03-14,39
2011-03-15,39
2011-03-16,39
2011-03-17,39
2011-03-18,39
2011-03-19,39
2011-03-20,42
2011-03-21,46
2011-03-22,49
2011-03-23,52
2011-03-24,56
2011-03-25,59
2011-03-26,62
2011-03-27,60
2011-04-03,46
2011-04-04,44
2011-04-05,42
2011-04-06,40
2011-04-07,38
2011-04-08,36
2011-04-09,34
2011-04-10,37
2011-04-11,41
2011-04-12,45
2011-04-13,48
2011-04-14,52
2011-04-15,56
2011-04-16,60
2011-04-17,59
2011-04-18,58
2011-04-19,57
2011-04-20,56
2011-04-21,55
2011-04-22,54
2011-04-23,54
2011-04-24,52
2011-04-25,51
2011-04-26,49
2011-04-27,48
2011-04-28,47
2011-04-29,45
2011-04-30,44
2011-05-01,44
2011-05-02,44
2011-05-03,44
2011-05-04,44
2011-05-05,44
2011-05-06,44
2011-05-07,45
2011-05-08,45
2011-05-09,46
2011-05-10,47
2011-05-11,48
2011-05-12,49
2011-05-13,50
2011-05-14,51
2011-05-15,52
2011-05-16,54
2011-05-17,56
2011-05-18,57
2011-05-19,59
2011-05-20,60
2011-05-21,62
2011-05-22,61
2011-05-23,59
2011-05-24,58
2011-05-25,57
2011-05-26,56
2011-05-27,55
2011-05-28,54
2011-05-29,53
2011-05-30,52
2011-05-31,51
2011-06-01,51
2011-06-02,50
2011-06-03,49
2011-06-04,49
2011-06-05,47
2011-06-06,45
2011-06-07,43
2011-06-08,41
2011-06-09,39
2011-06-10,37
2011-06-11,36
2011-06-12,42
2011-06-13,49
2011-06-14,56
2011-06-15,62
2011-06-16,69
2011-06-17,75
2011-06-18,82
2011-06-19,79
2011-06-20,75
2011-06-21,72
2011-06-22,70
2011-06-23,67
2011-06-24,64
2011-06-25,62
2011-06-26,59
2011-07-03,44
2011-07-04,43
2011-07-05,42
2011-07-06,42
2011-07-07,41
2011-07-08,40
2011-07-09,40
2011-07-10,43
2011-07-11,46
2011-07-12,49
2011-07-13,53
2011-07-14,56
2011-07-15,59
2011-07-16,63
2011-07-17,61
2011-07-18,60
2011-07-19,59
2011-07-20,57
2011-07-21,56
2011-07-22,55
2011-07-23,54
2011-07-24,54
2011-07-25,55
2011-07-26,56
2011-07-27,56
2011-07-28,57
2011-07-29,58
2011-07-30,59
2011-07-31,57
2011-08-01,56
2011-08-02,55
2011-08-03,54
2011-08-04,53
2011-08-05,51
2011-08-06,50
2011-08-07,49
2011-08-08,47
2011-08-09,46
2011-08-10,44
2011-08-11,43
2011-08-12,42
2011-08-13,41
2011-08-14,41
2011-08-15,42
2011-08-16,43
2011-08-17,44
2011-08-18,45
2011-08-19,46
2011-08-20,47
2011-08-21,49
2011-08-22,51
2011-08-23,54
2011-08-24,56
2011-08-25,59
2011-08-26,61
2011-08-27,64
2011-08-28,61
2011-08-29,59
2011-08-30,57
2011-08-31,55
2011-09-01,52
2011-09-02,50
2011-09-03,48
2011-09-04,47
2011-09-05,46
2011-09-06,45
2011-09-07,44
2011-09-08,43
2011-09-09,42
2011-09-10,41
2011-09-11,41
2011-09-12,42
2011-09-13,42
2011-09-14,43
2011-09-15,43
2011-09-16,44
2011-09-17,44
2011-09-18,43
2011-09-19,42
2011-09-20,41
2011-09-21,40
2011-09-22,39
2011-09-23,38
2011-09-24,38
2011-09-25,38
2011-10-02,44
2011-10-03,46
2011-10-04,48
2011-10-05,49
2011-10-06,51
2011-10-07,53
2011-10-08,55
2011-10-09,54
2011-10-10,55
2011-10-11,54
2011-10-12,54
2011-10-13,54
2011-10-14,54
2011-10-15,54
2011-10-16,52
2011-10-17,50
2011-10-18,49
2011-10-19,47
2011-10-20,46
2011-10-21,44
2011-10-22,43
2011-10-23,43
2011-10-24,44
2011-10-25,44
2011-10-26,45
2011-10-27,45
2011-10-28,46
2011-10-29,47
2011-10-30,47
2011-10-31,47
2011-11-01,48
2011-11-02,48
2011-11-03,48
2011-11-04,49
2011-11-05,49
2011-11-06,48
2011-11-07,47
2011-11-08,46
2011-11-09,45
2011-11-10,44
2011-11-11,43
2011-11-12,42
2011-11-13,41
2011-11-14,39
2011-11-15,38
2011-11-16,37
2011-11-17,36
2011-11-18,35
2011-11-19,34
2011-11-20,34
2011-11-21,34
2011-11-22,35
2011-11-23,35
2011-11-24,36
2011-11-25,36
2011-11-26,37
2011-11-27,39
2011-11-28,41
2011-11-29,43
2011-11-30,45
2011-12-01,47
2011-12-02,49
2011-12-03,51
2011-12-04,50
2011-12-05,48
2011-12-06,46
2011-12-07,45
2011-12-08,43
2011-12-09,42
2011-12-10,40
2011-12-11,38
2011-12-12,36
2011-12-13,34
2011-12-14,32
2011-12-15,30
2011-12-16,28
2011-12-17,26
2011-12-18,27
2011-12-19,29
2011-12-20,31
2011-12-21,32
2011-12-22,34
2011-12-23,36
2011-12-24,38
2011-12-25,37
2012-01-01,39
2012-01-02,42
2012-01-03,44
2012-01-04,47
2012-01-05,49
2012-01-06,52
2012-01-07,55
2012-01-08,56
2012-01-09,58
2012-01-10,60
2012-01-11,62
2012-01-12,64
2012-01-13,66
2012-01-14,68
2012-01-15,65
2012-01-16,62
2012-01-17,59
2012-01-18,57
2012-01-19,54
2012-01-20,51
2012-01-21,49
2012-01-22,51
2012-01-23,53
2012-01-24,56
2012-01-25,58
2012-01-26,60
2012-01-27,63
2012-01-28,65
2012-01-29,62
2012-01-30,58
2012-01-31,55
2012-02-01,51
2012-02-02,48
2012-02-03,45
2012-02-04,42
2012-02-05,43
2012-02-06,44
2012-02-07,45
2012-02-08,46
2012-02-09,47
2012-02-10,48
2012-02-11,49
2012-02-12,51
2012-02-13,54
2012-02-14,56
2012-02-15,59
2012-02-16,62
2012-02-17,64
2012-02-18,67
2012-02-19,65
2012-02-20,63
2012-02-21,62
2012-02-22,60
2012-02-23,59
2012-02-24,57
2012-02-25,56
2012-02-26,55
2012-02-27,55
2012-02-28,55
2012-02-29,54
2012-03-01,54
2012-03-02,54
2012-03-03,54
2012-03-04,57
2012-03-05,61
2012-03-06,65
2012-03-07,69
2012-03-08,73
2012-03-09,77
2012-03-10,81
2012-03-11,77
2012-03-12,74
2012-03-13,70
2012-03-14,67
2012-03-15,63
2012-03-16,60
2012-03-17,57
2012-03-18,60
2012-03-19,63
2012-03-20,66
2012-03-21,69
2012-03-22,72
2012-03-23,75
2012-03-24,78
2012-03-25,75
2012-04-01,56
2012-04-02,57
2012-04-03,58
2012-04-04,59
2012-04-05,60
2012-04-06,61
2012-04-07,62
2012-04-08,62
2012-04-09,63
2012-04-10,63
2012-04-11,63
2012-04-12,64
2012-04-13,64
2012-04-14,65
2012-04-15,63
2012-04-16,61
2012-04-17,59
2012-04-18,58
2012-04-19,56
2012-04-20,54
2012-04-21,53
2012-04-22,55
2012-04-23,58
2012-04-24,61
2012-04-25,64
2012-04-26,66
2012-04-27,69
2012-04-28,72
2012-04-29,73
2012-04-30,74
2012-05-01,75
2012-05-02,76
2012-05-03,77
2012-05-04,78
2012-05-05,79
2012-05-06,80
2012-05-07,81
2012-05-08,82
2012-05-09,83
2012-05-10,85
2012-05-11,86
2012-05-12,87
2012-05-13,84
2012-05-14,82
2012-05-15,80
2012-05-16,77
2012-05-17,75
2012-05-18,72
2012-05-19,70
2012-05-20,69
2012-05-21,69
2012-05-22,68
2012-05-23,68
2012-05-24,67
2012-05-25,67
2012-05-26,67
2012-05-27,66
2012-05-28,65
2012-05-29,65
2012-05-30,64
2012-05-31,63
2012-06-01,62
2012-06-02,62
2012-06-03,62
2012-06-04,61
2012-06-05,61
2012-06-06,61
2012-06-07,61
2012-06-08,61
2012-06-09,61
2012-06-10,61
2012-06-11,61
2012-06-12,62
2012-06-13,62
2012-06-14,62
2012-06-15,62
2012-06-16,63
2012-06-17,59
2012-06-18,55
2012-06-19,52
2012-06-20,48
2012-06-21,45
2012-06-22,41
2012-06-23,38
2012-06-24,42
2012-07-01,68
2012-07-02,67
2012-07-03,66
2012-07-04,65
2012-07-05,64
2012-07-06,63
2012-07-07,62
2012-07-08,61
2012-07-09,60
2012-07-10,59
2012-07-11,58
2012-07-12,57
2012-07-13,56
2012-07-14,55
2012-07-15,58
2012-07-16,61
2012-07-17,64
2012-07-18,67
2012-07-19,70
2012-07-20,73
2012-07-21,77
2012-07-22,75
2012-07-23,74
2012-07-24,72
2012-07-25,71
2012-07-26,69
2012-07-27,68
2012-07-28,67
2012-07-29,71
2012-07-30,77
2012-07-31,81
2012-08-01,86
2012-08-02,91
2012-08-03,96
2012-08-04,101
2012-08-05,96
2012-08-06,91
2012-08-07,86
2012-08-08,81
2012-08-09,76
2012-08-10,72
2012-08-11,67
2012-08-12,65
2012-08-13,62
2012-08-14,60
2012-08-15,58
2012-08-16,56
2012-08-17,54
2012-08-18,52
2012-08-19,54
2012-08-20,57
2012-08-21,60
2012-08-22,62
2012-08-23,65
2012-08-24,68
2012-08-25,71
2012-08-26,72
2012-08-27,75
2012-08-28,77
2012-08-29,79
2012-08-30,81
2012-08-31,83
2012-09-01,85
2012-09-02,81
2012-09-03,76
2012-09-04,72
2012-09-05,68
2012-09-06,64
2012-09-07,60
2012-09-08,56
2012-09-09,54
2012-09-10,52
2012-09-11,50
2012-09-12,49
2012-09-13,47
2012-09-14,45
2012-09-15,44
2012-09-16,46
2012-09-17,49
2012-09-18,52
2012-09-19,54
2012-09-20,57
2012-09-21,60
2012-09-22,63
2012-09-23,63
2012-09-24,63
2012-09-25,64
2012-09-26,64
2012-09-27,65
2012-09-28,65
2012-09-29,66
2012-09-30,69
2012-10-07,89
2012-10-08,89
2012-10-09,89
2012-10-10,89
2012-10-11,89
2012-10-12,89
2012-10-13,89
2012-10-14,84
2012-10-15,79
2012-10-16,74
2012-10-17,69
2012-10-18,64
2012-10-19,59
2012-10-20,54
2012-10-21,54
2012-10-22,55
2012-10-23,55
2012-10-24,55
2012-10-25,56
2012-10-26,56
2012-10-27,56
2012-10-28,54
2012-10-29,51
2012-10-30,49
2012-10-31,47
2012-11-01,45
2012-11-02,43
2012-11-03,41
2012-11-04,40
2012-11-05,40
2012-11-06,39
2012-11-07,39
2012-11-08,38
2012-11-09,38
2012-11-10,38
2012-11-11,36
2012-11-12,35
2012-11-13,34
2012-11-14,33
2012-11-15,32
2012-11-16,31
2012-11-17,30
2012-11-18,33
2012-11-19,36
2012-11-20,39
2012-11-21,43
2012-11-22,46
2012-11-23,49
2012-11-24,53
2012-11-25,52
2012-11-26,52
2012-11-27,52
2012-11-28,52
2012-11-29,52
2012-11-30,52
2012-12-01,52
2012-12-02,52
2012-12-03,53
2012-12-04,53
2012-12-05,53
2012-12-06,54
2012-12-07,54
2012-12-08,55
2012-12-09,55
2012-12-10,56
2012-12-11,57
2012-12-12,57
2012-12-13,58
2012-12-14,59
2012-12-15,60
2012-12-16,59
2012-12-17,58
2012-12-18,57
2012-12-19,56
2012-12-20,55
2012-12-21,54
2012-12-22,53
2012-12-23,52
2012-12-24,49
2012-12-25,47
2012-12-26,46
2012-12-27,44
2012-12-28,42
2012-12-29,41
2012-12-30,44
