Date,Deltek
2006-11-05,66
2006-11-06,79
2006-11-07,56
2006-11-08,51
2006-11-09,46
2006-11-10,41
2006-11-11,37
2006-11-12,37
2006-11-13,37
2006-11-14,38
2006-11-15,38
2006-11-16,39
2006-11-17,39
2006-11-18,40
2006-11-19,38
2006-11-20,37
2006-11-21,36
2006-11-22,34
2006-11-23,33
2006-11-24,32
2006-11-25,31
2006-11-26,33
2006-11-27,36
2006-11-28,38
2006-11-29,40
2006-11-30,43
2006-12-01,45
2006-12-02,48
2006-12-03,50
2006-12-04,52
2006-12-05,54
2006-12-06,56
2006-12-07,58
2006-12-08,61
2006-12-09,63
2006-12-10,58
2006-12-11,53
2006-12-12,48
2006-12-13,44
2006-12-14,39
2006-12-15,34
2006-12-16,30
2006-12-17,35
2006-12-18,41
2006-12-19,46
2006-12-20,52
2006-12-21,58
2006-12-22,63
2006-12-23,69
2006-12-24,65
2006-12-25,61
2006-12-26,57
2006-12-27,54
2006-12-28,50
2006-12-29,46
2006-12-30,43
2006-12-31,48
2007-01-01,54
2007-01-02,59
2007-01-03,64
2007-01-04,70
2007-01-05,75
2007-01-06,81
2007-01-07,81
2007-01-08,82
2007-01-09,82
2007-01-10,83
2007-01-11,83
2007-01-12,84
2007-01-13,85
2007-01-14,80
2007-01-15,75
2007-01-16,70
2007-01-17,65
2007-01-18,60
2007-01-19,55
2007-01-20,50
2007-01-21,50
2007-01-22,50
2007-01-23,50
2007-01-24,50
2007-01-25,50
2007-01-26,50
2007-01-27,50
2007-01-28,53
2007-02-04,74
2007-02-05,75
2007-02-06,76
2007-02-07,77
2007-02-08,77
2007-02-09,78
2007-02-10,79
2007-02-11,74
2007-02-12,69
2007-02-13,65
2007-02-14,60
2007-02-15,56
2007-02-16,51
2007-02-17,47
2007-02-18,47
2007-02-19,46
2007-02-20,45
2007-02-21,45
2007-02-22,44
2007-02-23,44
2007-02-24,44
2007-02-25,45
2007-02-26,47
2007-02-27,48
2007-02-28,50
2007-03-01,51
2007-03-02,53
2007-03-03,55
2007-03-04,60
2007-03-05,67
2007-03-06,72
2007-03-07,78
2007-03-08,84
2007-03-09,90
2007-03-10,96
2007-03-11,95
2007-03-12,94
2007-03-13,93
2007-03-14,93
2007-03-15,92
2007-03-16,91
2007-03-17,91
2007-03-18,90
2007-03-19,89
2007-03-20,88
2007-03-21,87
2007-03-22,86
2007-03-23,85
2007-03-24,84
2007-03-25,85
2007-05-06,94
2007-05-07,90
2007-05-08,87
2007-05-09,83
2007-05-10,80
2007-05-11,76
2007-05-12,73
2007-05-13,73
2007-05-14,75
2007-05-15,76
2007-05-16,77
2007-05-17,78
2007-05-18,80
2007-05-19,81
2007-05-20,79
2007-05-21,74
2007-05-22,72
2007-05-23,70
2007-05-24,68
2007-05-25,66
2007-05-26,64
2007-05-27,62
2007-05-28,60
2007-05-29,58
2007-05-30,56
2007-05-31,54
2007-06-01,52
2007-06-02,50
2007-06-03,53
2007-06-04,58
2007-06-05,62
2007-06-06,66
2007-06-07,70
2007-06-08,74
2007-06-09,78
2007-06-10,73
2007-06-11,68
2007-06-12,63
2007-06-13,59
2007-06-14,54
2007-06-15,50
2007-06-16,45
2007-06-17,45
2007-06-18,45
2007-06-19,46
2007-06-20,46
2007-06-21,47
2007-06-22,47
