Date,Tumi Inc
2012-06-17,45
2012-06-18,44
2012-06-19,43
2012-06-20,42
2012-06-21,41
2012-06-22,40
2012-06-23,39
2012-06-24,37
2012-06-25,35
2012-06-26,33
2012-06-27,32
2012-06-28,30
2012-06-29,28
2012-06-30,27
2012-07-01,26
2012-07-02,25
2012-07-03,24
2012-07-04,23
2012-07-05,22
2012-07-06,21
2012-07-07,21
2012-07-08,23
2012-07-09,26
2012-07-10,29
2012-07-11,32
2012-07-12,35
2012-07-13,38
2012-07-14,41
2012-07-15,38
2012-07-16,36
2012-07-17,34
2012-07-18,31
2012-07-19,29
2012-07-20,27
2012-07-21,25
2012-07-22,27
2012-07-23,29
2012-07-24,32
2012-07-25,34
2012-07-26,37
2012-07-27,39
2012-07-28,42
2012-07-29,41
2012-07-30,40
2012-07-31,39
2012-08-01,39
2012-08-02,38
2012-08-03,37
2012-08-04,37
2012-08-05,39
2012-08-06,42
2012-08-07,44
2012-08-08,47
2012-08-09,49
2012-08-10,51
2012-08-11,54
2012-08-12,51
2012-08-13,48
2012-08-14,45
2012-08-15,42
2012-08-16,40
2012-08-17,37
2012-08-18,34
2012-08-19,34
2012-08-20,33
2012-08-21,33
2012-08-22,33
2012-08-23,33
2012-08-24,33
2012-08-25,33
2012-08-26,33
2012-09-02,33
2012-09-03,34
2012-09-04,35
2012-09-05,36
2012-09-06,38
2012-09-07,39
2012-09-08,40
2012-09-09,39
2012-09-10,37
2012-09-11,36
2012-09-12,34
2012-09-13,33
2012-09-14,32
2012-09-15,31
2012-09-16,31
2012-09-17,32
2012-09-18,33
2012-09-19,34
2012-09-20,35
2012-09-21,36
2012-09-22,37
2012-09-23,37
2012-09-24,37
2012-09-25,37
2012-09-26,37
2012-09-27,38
2012-09-28,38
2012-09-29,38
2012-09-30,37
2012-10-01,36
2012-10-02,35
2012-10-03,34
2012-10-04,33
2012-10-05,32
2012-10-06,31
2012-10-07,31
2012-10-08,32
2012-10-09,33
2012-10-10,33
2012-10-11,34
2012-10-12,35
2012-10-13,36
2012-10-14,35
2012-10-15,35
2012-10-16,34
2012-10-17,34
2012-10-18,33
2012-10-19,33
2012-10-20,33
2012-10-21,33
2012-10-22,34
2012-10-23,34
2012-10-24,34
2012-10-25,35
2012-10-26,35
2012-10-27,35
2012-10-28,35
2012-10-29,35
2012-10-30,35
2012-10-31,35
2012-11-01,35
2012-11-02,35
2012-11-03,35
2012-11-04,35
2012-11-05,35
2012-11-06,35
2012-11-07,35
2012-11-08,35
2012-11-09,35
2012-11-10,35
2012-11-11,35
2012-11-12,35
2012-11-13,35
2012-11-14,35
2012-11-15,35
2012-11-16,35
2012-11-17,35
2012-11-18,38
2012-11-19,42
2012-11-20,45
2012-11-21,49
2012-11-22,52
2012-11-23,56
2012-11-24,59
2012-11-25,56
2012-12-02,38
2012-12-03,39
2012-12-04,40
2012-12-05,41
2012-12-06,42
2012-12-07,44
2012-12-08,45
2012-12-09,43
2012-12-10,41
2012-12-11,39
2012-12-12,37
2012-12-13,35
2012-12-14,33
2012-12-15,32
2012-12-16,35
2012-12-17,38
2012-12-18,41
2012-12-19,44
2012-12-20,47
2012-12-21,50
2012-12-22,53
2012-12-23,52
2012-12-24,50
2012-12-25,49
2012-12-26,48
2012-12-27,46
2012-12-28,45
2012-12-29,44
2012-12-30,42
2012-12-31,40
2013-01-01,39
2013-01-02,37
2013-01-03,36
2013-01-04,34
2013-01-05,33
2013-01-06,33
2013-01-07,34
2013-01-08,35
2013-01-09,36
2013-01-10,36
2013-01-11,37
2013-01-12,38
2013-01-13,36
2013-01-14,34
2013-01-15,32
2013-01-16,30
2013-01-17,28
2013-01-18,26
2013-01-19,25
2013-01-20,28
2013-01-21,32
2013-01-22,35
2013-01-23,39
2013-01-24,43
2013-01-25,46
2013-01-26,50
2013-01-27,48
2013-01-28,47
2013-01-29,45
2013-01-30,44
2013-01-31,42
2013-02-01,40
2013-02-02,39
2013-02-03,38
2013-02-04,37
2013-02-05,36
2013-02-06,36
2013-02-07,35
2013-02-08,34
2013-02-09,34
2013-02-10,34
2013-02-11,35
2013-02-12,35
2013-02-13,36
2013-02-14,36
2013-02-15,37
2013-02-16,37
2013-02-17,36
2013-02-18,33
2013-02-19,31
2013-02-20,30
2013-02-21,28
2013-02-22,26
2013-02-23,25
2013-02-24,25
2013-03-03,30
2013-03-04,29
2013-03-05,28
2013-03-06,28
2013-03-07,27
2013-03-08,26
2013-03-09,26
2013-03-10,27
2013-03-11,28
2013-03-12,29
2013-03-13,30
2013-03-14,31
2013-03-15,32
2013-03-16,34
2013-03-17,36
2013-03-18,39
2013-03-19,42
2013-03-20,45
2013-03-21,48
2013-03-22,50
2013-03-23,53
2013-03-24,49
2013-03-25,45
2013-03-26,41
2013-03-27,37
2013-03-28,33
2013-03-29,29
2013-03-30,25
2013-03-31,27
2013-04-01,30
2013-04-02,33
2013-04-03,36
2013-04-04,39
2013-04-05,42
2013-04-06,45
2013-04-07,43
2013-04-08,41
2013-04-09,39
2013-04-10,37
2013-04-11,35
2013-04-12,33
2013-04-13,31
2013-04-14,31
2013-04-15,31
2013-04-16,32
2013-04-17,32
2013-04-18,32
2013-04-19,33
2013-04-20,33
2013-04-21,33
2013-04-22,33
2013-04-23,33
2013-04-24,33
2013-04-25,33
2013-04-26,33
2013-04-27,34
2013-04-28,35
2013-04-29,36
2013-04-30,37
2013-05-01,38
2013-05-02,39
2013-05-03,41
2013-05-04,42
2013-05-05,39
2013-05-06,35
2013-05-07,32
2013-05-08,29
2013-05-09,26
2013-05-10,23
2013-05-11,20
2013-05-12,22
2013-05-13,24
2013-05-14,26
2013-05-15,28
2013-05-16,30
2013-05-17,32
2013-05-18,34
2013-05-19,32
2013-05-20,29
2013-05-21,27
2013-05-22,24
2013-05-23,22
2013-05-24,20
2013-05-25,18
2013-05-26,19
