Date,Dole Foods
2009-02-01,33
2009-02-02,31
2009-02-03,30
2009-02-04,28
2009-02-05,27
2009-02-06,25
2009-02-07,24
2009-02-08,23
2009-02-09,23
2009-02-10,22
2009-02-11,22
2009-02-12,21
2009-02-13,21
2009-02-14,21
2009-02-15,22
2009-02-16,23
2009-02-17,24
2009-02-18,25
2009-02-19,26
2009-02-20,27
2009-02-21,28
2009-02-22,28
2009-02-23,28
2009-02-24,29
2009-02-25,29
2009-02-26,29
2009-02-27,30
2009-02-28,30
2009-03-01,29
2009-03-02,28
2009-03-03,27
2009-03-04,26
2009-03-05,25
2009-03-06,24
2009-03-07,24
2009-03-08,25
2009-03-09,26
2009-03-10,27
2009-03-11,28
2009-03-12,29
2009-03-13,30
2009-03-14,31
2009-03-15,30
2009-03-16,30
2009-03-17,30
2009-03-18,30
2009-03-19,29
2009-03-20,29
2009-03-21,29
2009-03-22,28
2009-03-23,27
2009-03-24,26
2009-03-25,25
2009-03-26,24
2009-03-27,23
2009-03-28,22
2009-03-29,24
2009-05-03,28
2009-05-04,28
2009-05-05,28
2009-05-06,28
2009-05-07,28
2009-05-08,28
2009-05-09,28
2009-05-10,27
2009-05-11,26
2009-05-12,25
2009-05-13,24
2009-05-14,23
2009-05-15,22
2009-05-16,22
2009-05-17,22
2009-05-18,23
2009-05-19,23
2009-05-20,24
2009-05-21,24
2009-05-22,25
2009-05-23,26
2009-05-24,26
2009-05-25,27
2009-05-26,28
2009-05-27,28
2009-05-28,29
2009-05-29,30
2009-05-30,31
2009-05-31,30
2009-06-01,29
2009-06-02,29
2009-06-03,28
2009-06-04,27
2009-06-05,26
2009-06-06,26
2009-06-07,26
2009-06-08,26
2009-06-09,26
2009-06-10,26
2009-06-11,26
2009-06-12,26
2009-06-13,26
2009-06-14,27
2009-06-15,28
2009-06-16,29
2009-06-17,30
2009-06-18,31
2009-06-19,32
2009-06-20,33
2009-06-21,31
2009-06-22,30
2009-06-23,29
2009-06-24,27
2009-06-25,26
2009-06-26,25
2009-06-27,24
2009-06-28,24
2009-06-29,24
2009-06-30,24
2009-07-01,24
2009-07-02,24
2009-07-03,24
2009-07-04,25
2009-07-05,25
2009-07-06,25
2009-07-07,26
2009-07-08,26
2009-07-09,27
2009-07-10,27
2009-07-11,28
2009-07-12,27
2009-07-13,26
2009-07-14,26
2009-07-15,25
2009-07-16,25
2009-07-17,24
2009-07-18,24
2009-07-19,24
2009-07-20,25
2009-07-21,26
2009-07-22,26
2009-07-23,27
2009-07-24,28
2009-07-25,29
