Date,Mascoma Corp
2012-02-18,57
2012-02-19,57
2012-02-20,57
2012-02-21,57
2012-02-22,56
2012-02-23,56
2012-02-24,56
2012-02-25,56
2012-02-26,55
2012-02-27,55
2012-02-28,55
2012-02-29,55
2012-03-01,55
2012-03-02,55
2012-03-03,55
2012-03-04,55
2012-03-05,55
2012-03-06,55
2012-03-07,55
2012-03-08,56
2012-03-09,56
2012-03-10,56
2012-03-11,56
2012-03-12,56
2012-03-13,56
2012-03-14,57
2012-03-15,57
2012-03-16,57
2012-03-17,57
2012-03-18,57
2012-03-19,57
2012-03-20,58
2012-03-21,58
2012-03-22,58
2012-03-23,58
2012-03-24,58
2012-03-25,58
2012-03-26,59
2012-03-27,59
2012-03-28,59
2012-03-29,59
2012-03-30,59
2012-03-31,59
2012-04-01,60
2012-04-02,59
2012-04-03,59
2012-04-04,59
2012-04-05,59
2012-04-06,58
2012-04-07,58
2012-04-08,58
2012-04-09,58
2012-04-10,57
2012-04-11,57
2012-04-12,57
2012-04-13,57
2012-04-14,56
2012-04-15,56
2012-04-16,56
2012-04-17,56
2012-04-18,56
2012-04-19,55
2012-04-20,55
2012-04-21,55
2012-04-22,55
2012-04-23,54
2012-04-24,54
2012-04-25,54
2012-04-26,54
2012-04-27,53
2012-04-28,53
2012-04-29,53
2012-04-30,53
2012-05-01,53
2012-05-02,52
2012-05-03,52
2012-05-04,52
2012-05-05,52
2012-05-06,52
2012-05-07,52
2012-05-08,52
2012-05-09,52
2012-05-10,52
2012-05-11,52
2012-05-12,51
2012-05-13,51
2012-05-14,51
2012-05-15,51
2012-05-16,51
2012-05-17,51
2012-05-18,51
2012-05-19,51
2012-05-20,51
2012-05-21,51
2012-05-22,50
2012-05-23,50
2012-05-24,50
2012-05-25,50
2012-05-26,50
2012-05-27,50
2012-05-28,50
2012-05-29,50
2012-05-30,50
2012-05-31,50
2012-06-01,50
2012-06-02,49
2012-06-03,49
2012-06-04,48
2012-06-05,48
2012-06-06,47
2012-06-07,47
2012-06-08,46
2012-06-09,46
2012-06-10,45
2012-06-11,45
2012-06-12,44
2012-06-13,44
2012-06-14,43
2012-06-15,43
2012-06-16,43
2012-06-17,42
2012-06-18,42
2012-06-19,41
2012-06-20,41
2012-06-21,40
2012-06-22,40
2012-06-23,39
2012-06-24,39
2012-06-25,38
2012-06-26,38
2012-06-27,37
2012-06-28,37
2012-06-29,36
2012-06-30,36
2012-07-01,36
2012-07-02,35
2012-07-03,35
2012-07-04,34
2012-07-05,34
2012-07-06,33
2012-07-07,33
2012-07-08,32
2012-07-09,32
2012-07-10,31
2012-07-11,31
2012-07-12,31
2012-07-13,30
2012-07-14,30
2012-07-15,29
2012-07-16,29
2012-07-17,28
2012-07-18,28
2012-07-19,27
2012-07-20,27
2012-07-21,26
2012-07-22,26
2012-07-23,26
2012-07-24,25
2012-07-25,25
2012-07-26,24
2012-07-27,24
2012-07-28,23
2012-07-29,23
2012-07-30,22
2012-07-31,22
2012-08-01,22
2012-08-02,22
2012-08-03,22
2012-08-04,22
2012-08-05,22
2012-08-06,22
2012-08-07,22
2012-08-08,22
2012-08-09,22
2012-08-10,22
2012-08-11,22
2012-08-12,22
2012-08-13,22
2012-08-14,22
2012-08-15,22
2012-08-16,22
2012-08-17,22
2012-08-18,22
2012-08-19,22
2012-08-20,22
2012-08-21,22
2012-08-22,22
2012-08-23,22
2012-08-24,22
2012-08-25,22
2012-08-26,22
2012-08-27,22
2012-08-28,22
2012-08-29,22
2012-08-30,22
2012-08-31,22
2012-09-01,22
2012-09-02,22
2012-09-03,22
2012-09-04,22
2012-09-05,23
2012-09-06,23
2012-09-07,23
2012-09-08,24
2012-09-09,24
2012-09-10,24
2012-09-11,25
2012-09-12,25
2012-09-13,25
2012-09-14,25
2012-09-15,26
2012-09-16,26
2012-09-17,26
2012-09-18,27
2012-09-19,27
2012-09-20,27
2012-09-21,28
2012-09-22,28
2012-09-23,28
2012-09-24,28
2012-09-25,29
2012-09-26,29
2012-09-27,29
2012-09-28,30
2012-09-29,30
2012-09-30,30
2012-10-01,31
2012-10-02,31
2012-10-03,31
2012-10-04,31
2012-10-05,31
2012-10-06,31
2012-10-07,32
2012-10-08,32
2012-10-09,32
2012-10-10,32
